                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                  1.297,                0.95801,                 1.0896,                  1.514,                 1.1329,                 1.0571,                0.63472,                0.50339,                0.52694,                0.32647,                 1.3677,                 1.0272,                 1.1948,                 1.4974,                 1.1987,                 1.1702,              0.0057925,              0.0057925,              0.0057925
                     88,                 1.2831,                0.93979,                 1.0887,                  1.502,                 1.1199,                 1.0575,                0.58434,                0.49731,                0.52933,                0.32967,                 1.3646,                 1.0179,                 1.1916,                 1.4956,                 1.1721,                 1.1694,               0.005743,               0.005743,               0.005743
                     89,                 1.3162,                0.95534,                 1.0841,                 1.5369,                 1.1278,                 1.0456,                0.58837,                0.49096,                0.53059,                0.33081,                 1.3585,                 1.0229,                 1.1884,                 1.4937,                 1.1987,                 1.1653,              0.0056935,              0.0056935,              0.0056935
                     90,                 1.2826,                0.93046,                 1.0842,                 1.5074,                 1.1009,                 1.0522,                0.66728,                0.48619,                 0.5351,                0.33291,                 1.3573,                 1.0084,                 1.1872,                 1.4882,                 1.1797,                 1.1653,               0.005644,               0.005644,               0.005644
                     91,                 1.2793,                0.96524,                  1.072,                 1.4965,                  1.078,                 1.0383,                0.66509,                0.50832,                0.53913,                0.33397,                  1.363,                 1.0131,                 1.1877,                 1.4956,                 1.1822,                 1.1645,              0.0055945,              0.0055945,              0.0055945
                     92,                 1.2993,                0.94328,                 1.0885,                 1.5352,                 1.1275,                 1.0541,                 0.6537,                0.51282,                0.53561,                 0.3352,                 1.3635,                  1.023,                  1.188,                 1.4945,                 1.1855,                 1.1652,               0.005545,               0.005545,               0.005545
                     93,                 1.2664,                0.91437,                 1.0719,                 1.4893,                 1.0755,                 1.0413,                 0.5669,                0.51905,                0.52847,                0.32927,                 1.3551,                 1.0152,                  1.183,                 1.4881,                 1.1884,                 1.1659,              0.0054955,              0.0054955,              0.0054955
                     94,                 1.2692,                0.92393,                  1.076,                 1.4917,                 1.1079,                 1.0471,                0.64107,                0.51169,                0.53014,                0.32703,                 1.3591,                 1.0138,                 1.1857,                 1.4961,                 1.1926,                 1.1673,               0.005446,               0.005446,               0.005446
                     95,                 1.2824,                0.93439,                 1.0923,                  1.493,                 1.1143,                 1.0567,                0.65411,                0.49976,                0.53467,                 0.3304,                 1.3576,                 1.0093,                 1.1876,                 1.4903,                 1.1796,                 1.1667,              0.0053965,              0.0053965,              0.0053965
                     96,                 1.2613,                 0.9143,                 1.0814,                 1.4841,                 1.0895,                 1.0542,                0.64338,                0.51584,                0.54044,                0.33711,                 1.3558,                  1.006,                 1.1862,                 1.4927,                 1.1684,                 1.1673,               0.005347,               0.005347,               0.005347
                     97,                 1.2749,                0.92722,                 1.0711,                 1.5043,                 1.1013,                 1.0423,                0.64477,                0.51937,                0.54439,                0.34082,                 1.3516,                 1.0051,                 1.1826,                 1.4893,                 1.1651,                 1.1651,              0.0052975,              0.0052975,              0.0052975
                     98,                 1.2718,                 0.9196,                 1.0738,                 1.5102,                 1.1063,                 1.0444,                 0.6498,                0.50675,                0.54166,                0.33958,                 1.3538,                 1.0056,                 1.1845,                 1.4926,                 1.1708,                 1.1656,               0.005248,               0.005248,               0.005248
                     99,                 1.2586,                0.90554,                  1.066,                 1.4878,                 1.0789,                 1.0362,                0.65211,                0.50286,                0.53849,                0.33679,                 1.3523,                0.99435,                 1.1831,                 1.4858,                  1.159,                 1.1607,              0.0051985,              0.0051985,              0.0051985
                    100,                  1.254,                 0.9072,                  1.072,                 1.4926,                 1.0879,                  1.044,                0.63443,                0.51922,                 0.5384,                0.33649,                  1.347,                 0.9945,                 1.1792,                 1.4801,                 1.1672,                  1.157,               0.005149,               0.005149,               0.005149
                    101,                 1.2563,                0.90743,                 1.0694,                 1.4823,                 1.0733,                 1.0407,                0.64804,                0.51605,                0.54044,                0.33781,                   1.35,                0.99046,                 1.1804,                 1.4835,                 1.1559,                 1.1567,              0.0050995,              0.0050995,              0.0050995
