                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,       metrics/mAP50(B),   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
53,1.4209,1.1229,1.1531,1.6396,1.3401,0.47804,0.56469,0.44427,0.47804,0.2877,1.4359,1.1267,1.2461,1.559,1.2608,1.2136,0.008317,0.008317,0.008317
54,1.4304,1.1446,1.1571,1.6479,1.3735,0.46252,0.65593,0.43504,0.46252,0.27701,1.442,1.1333,1.2444,1.5617,1.2978,1.2119,0.008284,0.008284,0.008284
55,1.4174,1.111,1.1592,1.6444,1.3312,0.47188,0.64434,0.44383,0.47188,0.28763,1.439,1.1281,1.2418,1.5581,1.3034,1.2093,0.008251,0.008251,0.008251
56,1.4195,1.1503,1.1616,1.6303,1.384,0.47131,0.5976,0.45038,0.47131,0.28666,1.4342,1.1103,1.245,1.5563,1.2821,1.2103,0.008218,0.008218,0.008218
57,1.4081,1.1263,1.1516,1.6249,1.35,0.46562,0.59187,0.44162,0.46562,0.28388,1.4349,1.1157,1.2399,1.5528,1.278,1.2092,0.008185,0.008185,0.008185
58,1.4245,1.1251,1.1542,1.6469,1.3501,0.47837,0.64555,0.44419,0.47837,0.28936,1.4335,1.0895,1.2386,1.5606,1.252,1.208,0.008152,0.008152,0.008152
59,1.4027,1.1096,1.1533,1.6168,1.33,0.47319,0.66209,0.43281,0.47319,0.28536,1.43,1.0972,1.2389,1.5485,1.2762,1.2094,0.008119,0.008119,0.008119
60,1.4005,1.085,1.137,1.6223,1.2887,0.48233,0.61553,0.45861,0.48233,0.29405,1.4224,1.0826,1.2328,1.5485,1.2488,1.2046,0.008086,0.008086,0.008086
61,1.3816,1.0815,1.1343,1.5972,1.2976,0.4849,0.65964,0.44939,0.4849,0.30096,1.4226,1.0996,1.2338,1.5511,1.3023,1.2034,0.008053,0.008053,0.008053
62,1.4061,1.0945,1.1394,1.6209,1.2957,0.48483,0.65621,0.45355,0.48483,0.29156,1.4267,1.0761,1.2353,1.5469,1.2457,1.2033,0.00802,0.00802,0.00802
