                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.2751,                 0.9338,                 1.0859,                 1.5017,                 1.1228,                 1.0528,                0.67261,                0.49163,                0.52786,                0.33106,                 1.3478,                 0.9956,                 1.1835,                 1.4757,                 1.1611,                 1.1651,               0.005743,               0.005743,               0.005743
                     89,                 1.2711,                0.93121,                 1.0843,                 1.4853,                 1.1095,                 1.0546,                0.60396,                 0.5058,                0.53223,                0.33636,                 1.3429,                 1.0029,                 1.1809,                 1.4748,                 1.1663,                 1.1636,              0.0056935,              0.0056935,              0.0056935
                     90,                 1.2557,                0.92503,                 1.0858,                 1.4833,                 1.1153,                 1.0555,                0.58716,                0.51311,                0.52896,                0.33503,                 1.3422,                0.99506,                 1.1815,                 1.4743,                  1.169,                 1.1653,               0.005644,               0.005644,               0.005644
                     91,                 1.2728,                0.94264,                 1.0762,                 1.4874,                 1.1174,                 1.0427,                0.68021,                0.49759,                0.53006,                0.33416,                 1.3403,                0.99194,                 1.1834,                 1.4746,                 1.1766,                 1.1652,              0.0055945,              0.0055945,              0.0055945
                     92,                 1.2833,                0.94207,                 1.0863,                 1.5001,                 1.1345,                 1.0531,                0.66503,                0.51588,                0.53353,                0.33595,                 1.3392,                0.98082,                 1.1836,                   1.47,                 1.1375,                 1.1666,               0.005545,               0.005545,               0.005545
                     93,                 1.2747,                0.91967,                  1.075,                 1.5042,                 1.0929,                 1.0451,                0.58234,                0.51258,                0.53173,                0.33657,                 1.3399,                      1,                 1.1828,                 1.4702,                 1.1811,                 1.1633,              0.0054955,              0.0054955,              0.0054955
                     94,                 1.2709,                0.92861,                 1.0795,                 1.4978,                  1.106,                 1.0488,                0.57244,                0.52464,                0.52908,                0.33364,                 1.3439,                 1.0006,                 1.1825,                 1.4758,                  1.181,                  1.163,               0.005446,               0.005446,               0.005446
                     95,                 1.2676,                0.90561,                 1.0673,                  1.487,                 1.0784,                 1.0371,                0.64822,                0.52038,                0.53008,                0.33528,                 1.3403,                 1.0028,                 1.1808,                  1.472,                 1.2022,                 1.1641,              0.0053965,              0.0053965,              0.0053965
                     96,                 1.2509,                0.89753,                 1.0712,                  1.466,                 1.0683,                 1.0437,                 0.6452,                0.51291,                0.52093,                0.33068,                 1.3369,                 0.9964,                 1.1796,                 1.4701,                 1.1708,                  1.163,               0.005347,               0.005347,               0.005347
                     97,                 1.2522,                0.90634,                 1.0662,                 1.4758,                 1.0886,                 1.0386,                0.58147,                0.51417,                0.52642,                0.33226,                 1.3374,                0.98456,                 1.1776,                 1.4695,                 1.1652,                 1.1619,              0.0052975,              0.0052975,              0.0052975
                     98,                 1.2441,                0.90695,                 1.0747,                 1.4659,                 1.0988,                 1.0494,                0.57582,                0.52609,                0.53173,                0.33713,                 1.3377,                0.99321,                 1.1773,                 1.4712,                 1.1745,                 1.1634,               0.005248,               0.005248,               0.005248
                     99,                 1.2615,                0.91422,                 1.0757,                 1.4847,                 1.0976,                 1.0487,                0.56038,                0.53446,                0.53302,                0.33736,                 1.3317,                0.98701,                 1.1777,                  1.465,                 1.1659,                 1.1631,              0.0051985,              0.0051985,              0.0051985
                    100,                 1.2403,                0.88398,                 1.0616,                 1.4702,                 1.0514,                 1.0336,                 0.5886,                  0.528,                0.53172,                0.33839,                  1.332,                0.98517,                 1.1781,                  1.465,                 1.1693,                 1.1617,               0.005149,               0.005149,               0.005149
                    101,                 1.2721,                0.88725,                 1.0668,                 1.4978,                 1.0528,                 1.0356,                0.60032,                0.52942,                0.53833,                0.34101,                 1.3346,                0.98059,                 1.1773,                 1.4677,                 1.1561,                 1.1619,              0.0050995,              0.0050995,              0.0050995
