                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                  1.381,                 1.0663,                 1.1379,                 1.5935,                 1.2832,                 1.0928,                0.60606,                0.47011,                0.47782,                0.29277,                 1.4065,                 1.1095,                 1.2224,                 1.5211,                 1.2933,                 1.1935,                0.00703,                0.00703,                0.00703
                     63,                  1.392,                 1.0641,                 1.1275,                 1.6175,                 1.2692,                 1.0824,                0.63417,                0.46406,                0.49585,                0.30422,                 1.4037,                 1.0833,                 1.2238,                 1.5208,                 1.2773,                 1.1958,              0.0069805,              0.0069805,              0.0069805
                     64,                   1.36,                 1.0496,                 1.1265,                 1.5773,                 1.2365,                 1.0829,                0.64613,                0.47225,                0.48875,                0.29763,                 1.3959,                 1.0897,                 1.2228,                 1.5084,                  1.281,                 1.1927,               0.006931,               0.006931,               0.006931
                     65,                 1.3474,                 1.0219,                 1.1211,                 1.5697,                 1.2306,                 1.0827,                0.63246,                0.48267,                0.49647,                0.30554,                 1.4011,                 1.0972,                 1.2227,                 1.5195,                 1.3251,                 1.1937,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.3627,                 1.0389,                 1.1236,                 1.5748,                 1.2345,                 1.0855,                0.65417,                0.47303,                0.50276,                0.30697,                 1.3912,                 1.0711,                  1.219,                 1.5147,                 1.2614,                 1.1925,               0.006832,               0.006832,               0.006832
                     67,                 1.3739,                  1.029,                 1.1208,                 1.5944,                 1.2301,                   1.08,                0.67938,                0.46926,                0.50928,                 0.3122,                 1.3873,                  1.063,                 1.2174,                 1.5067,                 1.2453,                 1.1919,              0.0067825,              0.0067825,              0.0067825
                     68,                  1.362,                 1.0436,                 1.1234,                 1.5849,                  1.257,                 1.0864,                0.65586,                0.47344,                0.51535,                0.31533,                 1.3854,                  1.059,                 1.2145,                 1.4976,                 1.2437,                 1.1843,               0.006733,               0.006733,               0.006733
                     69,                 1.3355,                 1.0032,                 1.1137,                 1.5551,                 1.1932,                 1.0737,                0.66383,                0.47732,                0.50699,                0.30935,                 1.3785,                 1.0508,                 1.2086,                 1.4964,                 1.2052,                 1.1799,              0.0066835,              0.0066835,              0.0066835
                     70,                 1.3349,                 1.0073,                 1.1149,                 1.5526,                 1.1909,                 1.0767,                0.65438,                0.46967,                0.50359,                0.31092,                 1.3806,                 1.0622,                 1.2119,                 1.5033,                 1.2485,                 1.1858,               0.006634,               0.006634,               0.006634
                     71,                 1.3356,                0.99923,                  1.109,                 1.5573,                 1.2033,                 1.0729,                0.64858,                0.47937,                0.51619,                0.31461,                 1.3789,                 1.0373,                 1.2101,                 1.4979,                 1.1901,                 1.1792,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.3386,                0.99391,                 1.1093,                 1.5551,                 1.1738,                 1.0689,                0.63607,                0.48234,                0.51371,                0.31474,                 1.3716,                 1.0497,                 1.2038,                 1.4977,                 1.2592,                 1.1778,               0.006535,               0.006535,               0.006535
                     73,                 1.3249,                 1.0013,                 1.1025,                 1.5429,                 1.1856,                 1.0672,                0.63016,                 0.4898,                0.51138,                0.31484,                 1.3865,                 1.0419,                 1.2111,                 1.5039,                 1.1929,                 1.1838,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.3188,                0.97751,                    1.1,                 1.5371,                 1.1567,                 1.0631,                0.63475,                0.49993,                0.51932,                0.31941,                  1.384,                 1.0627,                 1.2087,                  1.507,                 1.2633,                 1.1846,               0.006436,               0.006436,               0.006436
                     75,                 1.3182,                0.98819,                 1.0971,                 1.5393,                 1.1766,                 1.0646,                 0.5901,                0.49339,                  0.521,                0.32289,                 1.3734,                 1.0339,                 1.2056,                 1.4904,                 1.1957,                 1.1776,              0.0063865,              0.0063865,              0.0063865
                     76,                  1.311,                0.98189,                  1.107,                  1.531,                 1.1774,                 1.0735,                0.65508,                0.48667,                0.51294,                0.31853,                 1.3781,                 1.0495,                 1.2048,                 1.5001,                 1.2331,                 1.1791,               0.006337,               0.006337,               0.006337
